0AE9,4.93,3.65,-0.41,73,001964.930
0AE9,4.94,3.66,-0.48,72,001965.030
0AE9,4.93,3.66,-0.54,85,001965.130
0AE9,4.90,3.67,-0.48,91,001965.230
0AE9,4.89,3.68,-0.53,74,001965.330
0AE9,4.86,3.68,-0.56,76,001965.430
0AE9,4.89,3.63,-0.35,79,001965.530
0AE9,4.89,3.60,-0.36,80,001965.730
0AE9,4.88,3.60,-0.45,75,001965.830
0AE9,4.85,3.59,-0.54,75,001965.930
0AE9,4.88,3.57,-0.33,78,001966.030
0AE9,4.86,3.59,-0.40,87,001966.130
0AE9,4.85,3.58,-0.17,79,001966.230
0AE9,4.82,3.58,-0.02,80,001966.330
0AE9,4.79,3.61,-0.06,81,001966.430
0AE9,4.76,3.64,0.01,80,001966.540
0AE9,4.76,3.66,-0.21,73,001966.640
0AE9,4.76,3.68,0.03,75,001966.740
0AE9,4.75,3.70,0.17,76,001966.840
0AE9,4.73,3.70,0.33,76,001966.940
0AE9,4.72,3.69,0.43,77,001967.040
0AE9,4.71,3.71,0.50,76,001967.140
0AE9,4.70,3.73,0.22,77,001967.240
0AE9,4.70,3.73,-0.03,75,001967.340
0AE9,4.71,3.73,0.17,75,001967.440
0AE9,4.71,3.74,0.26,77,001967.540
0AE9,4.68,3.74,0.08,80,001967.640
0AE9,4.69,3.78,0.25,73,001967.740
0AE9,4.69,3.78,0.37,76,001967.840
0AE9,4.68,3.78,0.08,76,001967.940
0AE9,4.68,3.77,0.25,76,001968.040
0AE9,4.69,3.75,0.00,77,001968.140
0AE9,4.67,3.74,0.11,93,001968.240
0AE9,4.66,3.73,-0.08,78,001968.340
0AE9,4.66,3.70,0.09,80,001968.440
0AE9,4.64,3.69,-0.06,92,001968.540
0AE9,4.63,3.68,-0.26,77,001968.640
0AE9,4.65,3.67,-0.31,90,001968.740
0AE9,4.68,3.64,-0.39,87,001968.840
0AE9,4.72,3.61,-0.43,78,001968.940
0AE9,4.75,3.58,-0.48,85,001969.040
0AE9,4.78,3.50,-0.57,78,001969.140
0AE9,4.79,3.39,-0.31,82,001969.240
