(-12.998546785657414, -47.09122651295186)
(-24.552810595130673, -15.697075504317286)
(-3.7627372274271464, -3.990781907877276)
(-13.530651040041052, -47.01521161946848)
(-4.1428116948440294, -4.4088638220358485)
(-13.986740400941311, -47.39528608688537)
(-4.028789354618965, -4.4088638220358485)
(-14.822904229258455, -48.07942012823576)
(-16.53323933263443, -48.9155839565529)
(-17.255380820726508, -49.18163608374472)
(-18.471619116460538, -49.5617105511616)
(-19.26977549803599, -49.9037775718368)
(-20.143946773094825, -50.01779991206186)
(-21.246162728603785, -50.055807358803555)
(-21.892289323212488, -49.33366587071147)
(-23.41258719288002, -50.5499041664455)
(-3.420670206751951, -4.104804248102341)
(-24.85687016906418, -50.28385203925368)
(-25.73104144412301, -50.32185948599537)
(-26.87126484637366, -49.75174778487005)
(-27.555398887724053, -49.75174778487005)
(-28.619607396491325, -49.675732891386666)
(-24.628825488614048, -14.632866995550014)
(-2.432476591468054, -3.990781907877276)
(-30.215920159642234, -49.9037775718368)
(-30.862046754250937, -49.105621190261346)
(-24.628825488614048, -14.670874442291701)
(-2.508491484951431, -3.838752120910523)
(-3.838752120910523, -3.3446553132685746)
(-30.74802441402587, -48.95359140329459)
(-31.812232922793147, -48.76355416958615)
(-24.552810595130673, -14.70888188903339)
(-31.622195689084705, -48.573516935877706)
(-33.44655313268574, -47.58532332059381)
(-32.9524563250438, -46.82517438576004)
(-33.75061270661925, -46.369085024859785)
(-34.92884355561159, -46.33107757811809)
(-36.63917865898757, -46.02701800418459)
(-35.879029724153796, -45.989010557442896)
(-23.868676553780283, -14.670874442291701)
(-3.306647866526886, -4.522886162260913)
(-35.65098504370367, -45.79897332373446)
(-36.79120844595432, -45.53292119654264)
(-2.5464989316931192, -3.6107074404603927)
(-3.1926255263018213, -4.522886162260913)
(-38.311506315621855, -43.7085637529416)
(-24.058713787488724, -14.594859548808325)
(-2.736536165401561, -3.5726999937187047)
(-38.00744674168835, -43.100444605074586)
(-38.61556588955536, -42.37830311698251)
(-39.7937967385477, -42.416310563724196)
(-40.05984886573952, -41.01003503428173)
(-39.52774461135588, -41.314094608215235)
(-40.249886099447956, -40.55394567338146)
(-39.71778184506432, -39.33770737764744)
(-39.64176695158095, -37.96943929494666)
(-41.314094608215235, -37.43733504056302)
(-41.80819141585718, -36.44914142527912)
(-42.11225098979069, -35.61297759696198)
(-41.618154182148736, -34.39673930122795)
(-41.96022120282393, -33.21850845223562)
(-42.64435524417433, -32.26832228369341)
(-42.30228822349913, -31.318136115151198)
(-42.18826588327406, -30.215920159642234)
(-42.26428077675744, -29.037689310649895)
(-42.64435524417433, -28.125510588849377)
(-42.7203701376577, -27.32735420727392)
(-42.60634779743263, -25.69303399738132)
(-42.22627333001575, -24.476795701647294)
(-42.26428077675744, -24.172736127713787)
(-42.18826588327406, -23.03251272546314)
(-41.732176522373805, -21.436199962312227)
(-41.466124395181986, -20.524021240511708)
(-4.446871268777537, -3.078603186076756)
(-41.048042481023415, -18.5856414566856)
(-4.674915949227667, -3.420670206751951)
(-41.16206482124848, -18.85169358387742)
(-40.781990353831596, -17.863499968593523)
(-4.7509308427110435, -3.420670206751951)
(-40.21187865270627, -17.02733614027638)
(-39.413722271130815, -15.697075504317286)
(-38.08346163517172, -13.56865848678274)
(-37.43733504056302, -12.16238295734027)
(-36.33511908505406, -11.440241469248193)
(-36.33511908505406, -10.83212232138118)
(-35.68899249044536, -9.729906365872216)
(-34.358731854486265, -8.399645729913125)
(-33.940649940327695, -7.753519135304423)
(-33.10448611201055, -7.069385093954033)
(-32.040277603243275, -5.929161691703382)
(-31.318136115151198, -4.636908502485978)
(-30.13990526615886, -3.952774461135588)
(-28.809644630199767, -3.4586776534936394)
(-23.64063187333015, -14.556852102066637)
(-27.707428674690803, -2.0524021240511705)
(-23.526609533105088, -14.556852102066637)
(-26.605212719181843, -1.216238295734027)
(-25.388974423447817, -0.5701117011253252)
(-24.09672123423041, -0.03800744674168834)
(-23.488602086363397, 0.5321042543836368)
(-22.234356343887683, 1.2542457424757154)
(-21.284170175345473, 1.9003723370844172)
(-19.99191698612807, 2.318454251242989)
(-18.965715924102486, 2.6985287186598725)
(-18.129552095785343, 3.2686404197851977)
(-16.913313800051313, 3.8007446741688344)
(-15.240986143417027, 4.446871268777537)
(-14.25279252813313, 4.560893609002601)
(-13.264598912849232, 5.625102117769876)
(-12.466442531273778, 5.321042543836368)
(-11.364226575764816, 5.549087224286499)
(-10.147988280030788, 5.891154244961694)
(-9.045772324521826, 7.563481901595981)
(-7.639496795079357, 7.753519135304423)
(-7.183407434179098, 6.87934786024559)
(-5.967169138445071, 8.05757870923793)
(-4.978975523161173, 8.437653176654813)
(-3.306647866526886, 8.285623389688059)
(-2.508491484951431, 8.589682963621566)
(-1.330260635959092, 8.627690410363254)
(-1.1022159555089621, 8.627690410363254)
(0.07601489348337669, 8.475660623396502)
(0.4180819141585718, 8.70370530384663)
(1.748342550117664, 8.817727644071697)
(2.660521271918184, 8.779720197330008)
(2.850558505626626, 9.083779771263515)
(3.8767595676522113, 8.931749984296761)
(4.332848928552472, 8.893742537555074)
(5.131005310127927, 9.045772324521826)
(6.689310626537149, 9.045772324521826)
(6.87934786024559, 8.551675516879877)
(7.867541475529488, 8.589682963621566)
(7.943556369012865, 8.51366807013819)
(8.323630836429748, 8.475660623396502)
(-3.724729780685458, -0.7601489348337669)
(9.121787218005203, 8.285623389688059)
(-3.6107074404603927, -0.6841340413503902)
(9.539869132163775, 8.209608496204682)
(10.224003173514165, 8.01957126249624)
(11.136181895314685, 8.01957126249624)
(11.136181895314685, 8.01957126249624)
(11.02215955508962, 7.373444667887539)
(11.47824891598988, 7.525474454854293)
(11.896330830148452, 7.297429774404162)
(11.896330830148452, 7.1453999874374095)
(-3.6867223339437696, -0.7601489348337669)
(12.656479764982219, 7.107392540695721)
(-3.4586776534936394, -0.5701117011253252)
(12.542457424757155, 6.765325520020526)
(13.264598912849232, 6.613295733053772)
(13.416628699815986, 6.575288286312084)
(13.302606359590921, 6.309236159120266)
(-1.6343202098925989, -0.22804468045013007)
(13.302606359590921, 6.043184031928447)
(-1.5963127631509106, -0.19003723370844172)
(-3.1166106328184444, -0.45608936090026014)
(13.530651040041052, 6.1191989254118235)
(-1.5583053164092222, -0.19003723370844172)
(13.56865848678274, 5.473072330803122)
(13.834710613974558, 6.1191989254118235)
(13.530651040041052, 5.853146798220005)
(-1.216238295734027, 0.22804468045013007)
(13.302606359590921, 5.0929978633862385)
(-2.6225138251764957, -1.1402234022506503)
(-1.1022159555089621, -0.11402234022506504)
(14.062755294424688, 5.0929978633862385)
(-1.0262010620255853, 0.38007446741688344)
(13.530651040041052, 4.712923395969355)
(14.024747847682999, 4.940968076419485)
(-0.30405957393350674, 0.4180819141585718)
(13.948732954199624, 4.4088638220358485)
(-0.3420670206751951, 0.6081191478670135)
(13.56865848678274, 3.990781907877276)
(13.11256912588248, 3.382662760010263)
(-0.4180819141585718, 0.6461265946087019)
(13.56865848678274, 3.5726999937187047)
(13.340613806332609, 3.496685100235328)
(13.56865848678274, 3.1166106328184444)
(14.48083720858326, 2.1284170175345474)
(14.632866995550014, 2.1284170175345474)
(14.822904229258455, 2.0524021240511705)
(-25.00889995603093, -14.898919122741832)
(14.93692656948352, 2.318454251242989)
(15.012941462966896, 2.166424464276236)
(-24.81886272232249, -14.366814868358196)
(1.406275529442469, 0.8361638283171436)
(15.126963803191963, 1.976387230567794)
(-24.932885062547555, -14.784896782516766)
(1.5963127631509106, 0.7601489348337669)
(15.202978696675338, 1.7863499968593524)
(-24.476795701647294, -14.290799974874819)
(15.317001036900404, 1.976387230567794)
(-24.7808552755808, -14.328807421616506)
(15.355008483642091, 1.7863499968593524)
(-24.172736127713787, -16.11515741847586)
(-24.666832935355735, -14.328807421616506)
(14.632866995550014, 1.862364890342729)
(-24.81886272232249, -14.404822315099883)
(-24.970892509289243, -15.278993590158715)
(-35.34692546977016, 17.71147018162677)
(-24.552810595130673, -14.404822315099883)
(-24.51480314838898, -14.404822315099883)
(-24.59081804187236, -14.44282976184157)
(-24.628825488614048, -14.48083720858326)
(-24.666832935355735, -14.48083720858326)
(-24.704840382097426, -14.44282976184157)
(-24.742847828839114, -14.44282976184157)
(-24.552810595130673, -14.366814868358196)
(-24.476795701647294, -14.328807421616506)
(14.48083720858326, 2.5464989316931192)
(-24.476795701647294, -14.404822315099883)
(-23.868676553780283, -14.44282976184157)
(-23.90668400052197, -14.518844655324948)
(-23.90668400052197, -14.670874442291701)
(15.278993590158715, 2.5845063784348077)
(-24.09672123423041, -14.556852102066637)
(15.469030823867158, 2.5464989316931192)
